Date,Symbol,Series,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
10-Jul-2019,RELIANCE,EQ,1280.05,1289.35,1268.7,1277.1,1278.85,5494315,70191.46
09-Jul-2019,RELIANCE,EQ,1248.95,1283.5,1245.5,1283,1280.1,8016757,102026.49
08-Jul-2019,RELIANCE,EQ,1258,1268.1,1248.2,1252.5,1252.05,6404544,80474.81
05-Jul-2019,RELIANCE,EQ,1285.1,1290.5,1260,1262.9,1263.35,4995344,63697.48
04-Jul-2019,RELIANCE,EQ,1281.4,1291,1280,1284,1284,4275148,54974.06
03-Jul-2019,RELIANCE,EQ,1282.9,1286.5,1275.05,1282,1282.55,4026032,51598.35
02-Jul-2019,RELIANCE,EQ,1273.95,1281,1263.3,1279,1278.5,4638751,59047.39
01-Jul-2019,RELIANCE,EQ,1258.05,1272.65,1246.45,1268.9,1268.85,6162080,77829.46
28-Jun-2019,RELIANCE,EQ,1277.1,1282.85,1248.65,1254,1253.1,8659721,109276.08
27-Jun-2019,RELIANCE,EQ,1293.15,1296.9,1271,1276,1274.15,11385972,145866.56
26-Jun-2019,RELIANCE,EQ,1291,1304.6,1286.35,1291.9,1294.15,5299942,68680.97
25-Jun-2019,RELIANCE,EQ,1258.9,1298,1254.25,1295.4,1295.85,6842363,87675.11
24-Jun-2019,RELIANCE,EQ,1272.15,1276.45,1257.1,1261.85,1262.4,5150998,65110.21
21-Jun-2019,RELIANCE,EQ,1295.95,1296,1275.55,1278.7,1279.5,10623098,136191.85
20-Jun-2019,RELIANCE,EQ,1280,1300,1278,1299.9,1296.75,4914012,63311.39
19-Jun-2019,RELIANCE,EQ,1286.9,1302,1262.6,1282,1277.35,6625604,85093.22
18-Jun-2019,RELIANCE,EQ,1278.9,1287.95,1269.1,1278.5,1281,7679193,98285.8
17-Jun-2019,RELIANCE,EQ,1320,1320,1278.5,1282.25,1282.3,6815554,88050.28
14-Jun-2019,RELIANCE,EQ,1321.9,1325,1309.4,1320,1317.55,6831331,89900.93
13-Jun-2019,RELIANCE,EQ,1330,1334.7,1308.65,1323.65,1327.25,7171189,94836.85
12-Jun-2019,RELIANCE,EQ,1334.7,1338.4,1325,1333.2,1332.15,4707716,62733.7
11-Jun-2019,RELIANCE,EQ,1321.85,1334.5,1318,1329.55,1329.15,5253790,69744.49
10-Jun-2019,RELIANCE,EQ,1320.9,1327,1310.1,1320.5,1319.15,5380148,70991.1
07-Jun-2019,RELIANCE,EQ,1325.95,1327.25,1305.6,1311,1314.9,6730595,88476.73
06-Jun-2019,RELIANCE,EQ,1361.9,1361.9,1321.1,1326.15,1327.35,7664319,102354.81
04-Jun-2019,RELIANCE,EQ,1357.45,1374.25,1348.1,1353,1351.65,7059911,95885.61
03-Jun-2019,RELIANCE,EQ,1335,1367.25,1321.2,1364,1360.2,8483610,114059.36
31-May-2019,RELIANCE,EQ,1337.9,1341.9,1320.2,1330.1,1330.15,11760178,156490.86
30-May-2019,RELIANCE,EQ,1316.25,1342,1316.25,1330,1329.75,10740841,142804.56
29-May-2019,RELIANCE,EQ,1321,1333.3,1304.15,1315.6,1313.05,7112830,93966.56
28-May-2019,RELIANCE,EQ,1319.8,1334.8,1313.35,1330,1323.75,19472659,257795.6
27-May-2019,RELIANCE,EQ,1337.1,1337.5,1307,1313.2,1310.65,7349720,97224.43
24-May-2019,RELIANCE,EQ,1348,1353.8,1316.5,1338,1336.85,10180759,135885.48
23-May-2019,RELIANCE,EQ,1372,1392,1325,1336,1333.9,17722514,241814.13
22-May-2019,RELIANCE,EQ,1345.65,1359.7,1335.1,1344,1340.4,11287400,151836.04
21-May-2019,RELIANCE,EQ,1332.2,1367,1330.05,1339.9,1339.8,13872055,186995.17
20-May-2019,RELIANCE,EQ,1313.6,1337.7,1303.5,1328.55,1325.9,12333937,162713.03
17-May-2019,RELIANCE,EQ,1267,1276.95,1252,1269,1267.4,7898440,100219.2
16-May-2019,RELIANCE,EQ,1259.95,1271.9,1258.1,1269.2,1265.35,6606652,83554.22
15-May-2019,RELIANCE,EQ,1273,1278,1250.6,1256,1256.9,11163801,141727.63
14-May-2019,RELIANCE,EQ,1236.5,1269.35,1231.5,1267,1260.45,13001004,162858
13-May-2019,RELIANCE,EQ,1247.9,1260.8,1227.5,1229.9,1232.05,8047801,100352.49
10-May-2019,RELIANCE,EQ,1265,1277.7,1245,1245.75,1251.15,11226831,141857.72
09-May-2019,RELIANCE,EQ,1288.8,1288.8,1251.75,1253.15,1256.45,19507368,246787.6
08-May-2019,RELIANCE,EQ,1340,1340,1292.2,1297.75,1299.45,14610543,191851.04
07-May-2019,RELIANCE,EQ,1394.8,1395,1340.2,1341,1343.5,8877095,120873.93
06-May-2019,RELIANCE,EQ,1398,1402.8,1378.1,1382.95,1384.9,7237910,100780.25
03-May-2019,RELIANCE,EQ,1407.95,1417.5,1402.65,1409.9,1408.85,6510169,91936.25
02-May-2019,RELIANCE,EQ,1392,1413.9,1382.1,1403.1,1405.05,8682505,121757.59
30-Apr-2019,RELIANCE,EQ,1396.4,1396.4,1366.8,1392.45,1392.8,10217019,141485.88
26-Apr-2019,RELIANCE,EQ,1375,1395.95,1370.7,1392,1392.8,6889444,95348.54
25-Apr-2019,RELIANCE,EQ,1389.1,1412.4,1362.6,1370,1372.4,13929820,193871.23
24-Apr-2019,RELIANCE,EQ,1370.3,1394.8,1366.25,1389.5,1389.5,7360887,101532.25
23-Apr-2019,RELIANCE,EQ,1348,1373,1346,1364.65,1363.85,9055300,123422.3
22-Apr-2019,RELIANCE,EQ,1360,1367,1341.3,1344,1345.35,10792748,146114.22
18-Apr-2019,RELIANCE,EQ,1375,1389.75,1365,1386.05,1385.95,17960482,247766.45
16-Apr-2019,RELIANCE,EQ,1345,1360,1340,1345,1343.75,7936553,107119.81
15-Apr-2019,RELIANCE,EQ,1345,1348.95,1335,1339,1340.15,4245127,56940.89
12-Apr-2019,RELIANCE,EQ,1350,1356.9,1336.65,1340,1343.1,5919742,79684.61
11-Apr-2019,RELIANCE,EQ,1332.95,1353,1329,1350,1346.8,5741333,76842.66
